Name,URL,Language,Resource Type,Tags,State,Note 2 ,Year,Note,Organisation
Handbook of Sustainable Agriculture - Field Reports,https://drive.google.com/file/d/0ByE9Mc41r3OrdWh1bnpKVjlmOG8/view?usp=sharing,English,Handbook/Resource Book,,"Kerala, Odisha, Tamil Nadu, Punjab, Rajasthan, Uttarakhand, Himachal Pradesh, Madhya Pradesh, Maharashtra, Telangana, Karnataka, Andhra Pradesh, Chhattisgarh and West Bengal",,2016,Regenerative Agriculture,PRADAN
Handbook of Sustainable Agriculture - Field Reports,https://drive.google.com/file/d/0ByE9Mc41r3OrdWh1bnpKVjlmOG8/view?usp=sharing,English,,,,"The handbook on Sustainable Agriculture is for practioners, academicians and policy makers. The book has field reports from different parts of India practicing sustainable agriculture",,,Pradan
Home Composting & Terrace Gardening ,https://drive.google.com/file/d/1WOdTWCFEQZhMTiUXZFoUW9A_ctst5a1O/view?usp=sharing,English,Presentation,"gardening, terrace, vegetable garden",,,,,OFYT
Home Gardens for Seed Conservation & Nutrition ,https://drive.google.com/file/d/1tCVLah9wreNJvYTE91GmBRqzAnINDJqe/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Impact Assessment of BRLP supported  Pradan’s SRI Program in Bihar,https://drive.google.com/file/d/0ByE9Mc41r3OrYzBQck1xcnBuUDA/view?usp=sharing,English,,,,Impact Assessment Study on Paddy productivity enhancement through SRI promotion in Nalanda and Gaya districts of Bihar in World Bank funded Bihar Rural Livelihood Promotion Society (BRLPS) project,,,Pradan
Impact Assessment of BRLP supported  Pradan’s SRI Program in Bihar,https://drive.google.com/file/d/0ByE9Mc41r3OrYzBQck1xcnBuUDA/view?usp=sharing,English,Study/Report ,,Bihar,,,Regenerative Agriculture,PRADAN
Impact Assessment of Pradan’s Sericulture Program in Bihar and Jharkhand,https://drive.google.com/file/d/0ByE9Mc41r3OrNHlCTkxCbHdCbDA/view?usp=sharing,English,,,,Impact Assessment Study of PRADAN's Sericulture Program on primary producers at different levels of value chain and the value chain itself. ,,,Pradan
Impact of COVID 19 on Food Security and Nutrition,https://drive.google.com/file/d/1GS7FCGrY9Wjr6FyZMSuBF_PjjcZFCbZW/view?usp=sharing,English,,,,"The Policy briefs highlights the immediate, near/medium, and beyond the crises ",,,United Nations
Implementing Integrated Natural Resource Management Projects under  the National Rural Employment Act 2005 (INRM Manual English),https://drive.google.com/file/d/0ByE9Mc41r3OrUTNobVRDcW9ld00/view?usp=sharing,English,,,,Manual on implementing Integrated Natural Resource Management  (INRM) based projects under the Mahatma Gandhi National Rural Employment Guarantee Act based on the experiences of PRADAN,,,Pradan
Implementing Integrated Natural Resource Management Projects under  the National Rural Employment Act 2005 (INRM Manual English),https://drive.google.com/file/d/0ByE9Mc41r3OrUTNobVRDcW9ld00/view?usp=sharing,English,Handbook/Resource Book,,,,,Regenerative Agriculture,PRADAN
Importance of Wash - Training,https://drive.google.com/file/d/0ByE9Mc41r3OrVTh4REI5SzF0cVk/view?usp=sharing,English,,,,Presentation on Importance of WASH to develop understanding among Community Resource Persons and Community Members on Water and Sanitation,,,PRADAN
Insect and Disease Management of Cucurbits Vegetables,https://drive.google.com/file/d/1k28UujbsQ5RQrKIpekGTU0Ht8FPGLDEh/view?usp=sharing,English,,,,Training conducted by Jaipal S. Choudhary,,,"ICAR-RCER, Farming Systems Research Centre for Hill and Plateau Region, Ranchi"
Insect Pests of Flower and Pods,https://drive.google.com/file/d/0ByE9Mc41r3Orb3Vldk0yYmpJT1k/view?usp=sharing,English,,,,Identification of Pests and their control in flower and pods,,,PRADAN
Insect Pests of Flower and Pods,https://drive.google.com/file/d/0ByE9Mc41r3Orb3Vldk0yYmpJT1k/view?usp=sharing,English,Process Documentation/ Guidelines,,,,2011,Regenerative Agriculture,PRADAN
Integrated Natural Resource Management (INRM) - A Discussion Paper,https://drive.google.com/file/d/0ByE9Mc41r3OrOUdKb25VX3hfQkU/view?usp=sharing,English,,,,Discussion Paper to understand the scope of Integrated Natural Resource Managemnet ( INRM),,,Pradan
Integrated Natural Resource Management (INRM) - A Discussion Paper,https://drive.google.com/file/d/0ByE9Mc41r3OrOUdKb25VX3hfQkU/view?usp=sharing,English,Discussion Paper,,,,,Regenerative Agriculture,PRADAN
IPM in Brinjal,https://drive.google.com/file/d/0ByE9Mc41r3OrVV9CTUdLaExCZ0k/view?usp=sharing,English,Training PPTs/materials,,,,2012,Regenerative Agriculture,PRADAN
IPM in Brinjal,https://drive.google.com/file/d/0ByE9Mc41r3OrVV9CTUdLaExCZ0k/view?usp=sharing,English,,,,Integrated pest management practices  in Brinjal,,,Pradan
IPM in Cucurbits,https://drive.google.com/file/d/0ByE9Mc41r3OrNDU0V3hCZG5FR0U/view?usp=sharing,English,,,,Integrated pest management practices in Cucurbits,,,Pradan
IPM in Cucurbits,https://drive.google.com/file/d/0ByE9Mc41r3OrNDU0V3hCZG5FR0U/view?usp=sharing,English,Training PPTs/materials,,,,2011,Regenerative Agriculture,PRADAN
IPM in Tomato,https://drive.google.com/file/d/0ByE9Mc41r3OrLVFWcFA5U2tjZTA/view?usp=sharing,English,Training PPTs/materials,,,,2011,Regenerative Agriculture,PRADAN
IPM in Tomato,https://drive.google.com/file/d/0ByE9Mc41r3OrLVFWcFA5U2tjZTA/view?usp=sharing,English,,,,Integrated pest management practices in Tomato,,,Pradan
IPM Practices for Cole Groups,https://drive.google.com/file/d/0ByE9Mc41r3OrUG5NQVpVenpwem8/view?usp=sharing,English,,,,Integrated pest management practices for cole group of vegetables,,,Pradan
IPM Practices for Cole Groups,https://drive.google.com/file/d/0ByE9Mc41r3OrUG5NQVpVenpwem8/view?usp=sharing,English,Training PPTs/materials,,,,2011,Regenerative Agriculture,PRADAN
